Main Author ID,Author Name,H-Index,I-Index,Two-Year Mean Citedness,Institution,Country Code,Publication Year,Co-Author ID,Co-Author Display Name,Co-Author Counts,Sum Max Cited By Percentile Year,Avg Max Cited By Percentile Year
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,1999,A5051064583,Caroline Minks,1,96.2,96.2
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,1999,A5001788395,Nediljko Budiša,1,96.2,96.2
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,1999,A5063495689,Robert Huber,2,182.8,91.4
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,1999,A5065468362,Waltraud Wenger,2,182.8,91.4
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,1999,A5039607051,Luis Moröder,1,96.2,96.2
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,1999,A5083111086,Stefan Alefelder,1,96.2,96.2
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2000,A5001788395,Caroline Minks,1,93.7,93.7
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2000,A5063495689,Robert Huber,1,93.7,93.7
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2000,A5065468362,Nediljko Budiša,1,93.7,93.7
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2000,A5039607051,Luis Moröder,1,93.7,93.7
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2003,A5051873783,Marina Rubini,1,98.9,98.9
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2003,A5081326443,Andreas Zumbusch,1,98.9,98.9
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2003,A5041985412,Georg Wiegand,1,98.9,98.9
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2003,A5054979399,Tad A. Holak,1,98.9,98.9
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2003,A5089616448,M. Kamran Azim,1,98.9,98.9
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2003,A5085587248,Robert Huber,1,98.9,98.9
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2003,A5054861756,Nediljko Budiša,1,98.9,98.9
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2003,A5012336503,Markus H. J. Seifert,1,98.9,98.9
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2003,A5063495689,Jeong Sun Kim,1,98.9,98.9
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2003,A5065468362,Gregor Jung,1,98.9,98.9
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2003,A5071042344,Luis Moröder,1,98.9,98.9
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2004,A5051873783,Marina Rubini,1,92.6,92.6
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2004,A5051064583,Petra Birle,1,92.3,92.3
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2004,A5007257909,Prajna Paramita Pal,1,92.6,92.6
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2004,A5001788395,Tad A. Holak,1,92.3,92.3
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2004,A5020214662,Olga Pipitone,1,92.6,92.6
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2004,A5085587248,Nediljko Budiša,1,92.3,92.3
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2004,A5026517084,Igor Siwanowicz,1,92.6,92.6
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2004,A5012336503,Tatjana Krywcun,2,184.9,92.45
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2004,A5034781403,Waltraud Wenger,1,92.3,92.3
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2004,A5050926918,Maria Luisa Gelmi,1,92.3,92.3
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2004,A5033062984,Jae Hyun Bae,1,92.3,92.3
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2004,A5052464405,Thomas Steiner,3,276.2,92.06666667
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2007,A5026409952,Nediljko Budiša,1,92.8,92.8
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2008,A5026409952,Sebastian Nehring,2,164.7,82.35
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2008,A5051064583,Waltraud Wenger,1,90.3,90.3
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2008,A5029456150,Birgit Wiltschi,1,90.3,90.3
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2009,A5026409952,Nediljko Budiša,1,92.7,92.7
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2009,A5028345358,Lars Merkel,1,92.7,92.7
A5087966779,Nediljko Budiša,45,147,4.095238095,University of Manitoba,CA,2010,A5089971664,Marina Royter,1,97.3,97.3
