Author_id,Author,ORCID,Works Count,Cited By Count,2-Year Mean Citedness,H-Index,i10-Index,Last Known Institution,Research Concepts
A5087966779,Nediljko Budiša,https://orcid.org/0000-0001-8437-7304,284,6773,3.736842105,45,150,University of Manitoba,"Chemistry, Biology, Biochemistry, Genetics, Physics, Organic chemistry, Amino acid, Gene, Nuclear magnetic resonance, Computational biology, Enzyme, Quantum mechanics, DNA, Materials science, Genetic code, Stereochemistry, Combinatorial chemistry, Computer science"
A5077915220,Jason W. Chin,https://orcid.org/0000-0003-1219-4757,242,20057,5.818181818,75,133,MRC Laboratory of Molecular Biology,"Biology, Chemistry, Biochemistry, Genetics, Gene, Cell biology, Physics, Computational biology, DNA, Organic chemistry, Amino acid, RNA, Computer science, Nuclear magnetic resonance, Medicine, Genetic code"
A5016903088,Massimo Di Giulio,,199,4906,3.111111111,40,119,National Research Council,"Chemistry, Biology, Biochemistry, Physics, Genetics, Gene, Quantum mechanics, Geology, Organic chemistry, Evolutionary biology, Paleontology, Materials science, Amino acid, DNA, Genetic code, Optics, Optoelectronics, Nanotechnology, Engineering, Computer science, Thin film, Composite material, RNA, Computational biology, Programming language"
A5002910622,Peter R. Wills,https://orcid.org/0000-0002-2670-7624,157,2881,2,27,59,University of Auckland,"Biology, Chemistry, Biochemistry, Physics, Computer science, Genetics, Mathematics, Quantum mechanics, Organic chemistry, Thermodynamics, Medicine, Gene, Engineering, Nuclear magnetic resonance, Philosophy, DNA, Computational biology, Amino acid, Geology, Genetic code"
A5023465449,Sergey V. Petoukhov,https://orcid.org/0000-0001-7355-1813,147,359,0.441176471,10,10,Russian Academy of Sciences,"Mathematics, Computer science, Biology, Physics, Chemistry, Genetics, Biochemistry, Gene, Pure mathematics, Quantum mechanics, Mathematical analysis, Geometry, DNA, Algebra over a field, Theoretical computer science, Algebraic number, Genetic code, Amino acid, Materials science, Philosophy, Statistics, Engineering, Composite material, Chromatography, Matrix (chemical analysis)"
A5044699527,Hervé Seligmann,,147,3757,1.571428571,36,106,National Institute of Diabetes and Digestive and Kidney Diseases,"Biology, Chemistry, Genetics, Biochemistry, Gene, RNA, Transfer RNA, DNA, Amino acid, Genome, Physics, Computational biology, Medicine, Messenger RNA, Genetic code, Mitochondrial DNA, Nucleotide"
A5024558707,Kensaku Sakamoto,https://orcid.org/0000-0003-2866-5031,142,4978,1.857142857,36,77,RIKEN Center for Biosystems Dynamics Research,"Chemistry, Biology, Biochemistry, Genetics, Gene, Physics, Organic chemistry, Amino acid, RNA, DNA, Nuclear magnetic resonance, Transfer RNA, Computer science, Stereochemistry, Materials science, Quantum mechanics, Genetic code, Engineering"
A5054899545,Lluı́s Ribas de Pouplana,https://orcid.org/0000-0002-2087-0359,124,4612,4.625,34,74,Institute for Research in Biomedicine,"Biology, Chemistry, Biochemistry, Genetics, Gene, RNA, Transfer RNA, Computational biology, Medicine, Amino acid, Physics, DNA, Aminoacyl tRNA synthetase, Organic chemistry, Nuclear magnetic resonance, Cell biology, Genetic code, Computer science, Enzyme, Messenger RNA"
A5018947507,A. Sciarrino,,111,903,0,14,18,INFN Sezione di Napoli,"Mathematics, Physics, Geometry, Quantum mechanics, Computer science, Pure mathematics, Chemistry, Biology, Genetics, Biochemistry, Algebra over a field, Gene, Mathematical analysis, Basis (linear algebra), Mathematical physics, Programming language, DNA, Particle physics, Set (abstract data type), Combinatorics, Code (set theory), Genetic code, Statistics, Amino acid"
A5055946764,Dorota Mackiewicz,https://orcid.org/0000-0001-8922-8615,108,1443,0.571428571,21,39,University of Wrocław,"Biology, Genetics, Biochemistry, Chemistry, Gene, Genome, Computer science, Computational biology, DNA, Mathematics, Amino acid, Statistics, Artificial intelligence, Medicine, Sociology, Evolutionary biology, Machine learning, Genetic code, Programming language, Coding region"
A5015623537,Lei Wang,https://orcid.org/0000-0002-5859-2526,96,8627,6.2,43,60,Institute of Zoology,"Biology, Chemistry, Biochemistry, Genetics, Physics, Gene, Organic chemistry, Amino acid, Quantum mechanics, Nuclear magnetic resonance, Medicine, RNA, Enzyme, DNA, Materials science, Transfer RNA, Computational biology, Genetic code, Computer science, Engineering"
A5037066034,Kenji Ikehara,https://orcid.org/0000-0002-2111-8054,88,1451,0.285714286,15,19,International Institute for Advanced Studies,"Biology, Chemistry, Genetics, Biochemistry, Gene, Physics, Amino acid, Computer science, DNA, RNA, Computational biology, Astrobiology, Abiogenesis, Genetic code, Nuclear magnetic resonance, Evolutionary biology, Organic chemistry"
A5074387857,Takeshi Ohama,,84,2290,2.666666667,31,59,Kochi University of Technology,"Biology, Chemistry, Biochemistry, Genetics, Gene, DNA, RNA, Organic chemistry, Cell biology, Physics, Geology, Genome, Amino acid, Ecology, Nuclear magnetic resonance, Enzyme, Mutant, Molecular biology, Phylogenetic tree, Botany, Transfer RNA, Evolutionary biology, Paleontology, Genetic code, Mitochondrial DNA"
A5010250566,Н. Н. Козлов,,82,183,0.5,6,2,Federal Scientific Center for Feed Production and Agroecology named after V.R. Williams,"Biology, Computer science, Chemistry, Mathematics, Genetics, Biochemistry, Gene, Programming language, Physics, Set (abstract data type), DNA, Code (set theory), Genetic code, Amino acid, Quantum mechanics, Agronomy"
A5070665448,Patrick O’Donoghue,https://orcid.org/0000-0002-9500-8640,81,3556,3.818181818,31,49,Western University,"Biology, Chemistry, Genetics, Biochemistry, Gene, RNA, Transfer RNA, Amino acid, Physics, Organic chemistry, Nuclear magnetic resonance, DNA, Enzyme, Genetic code, Computational biology, Medicine, Cell biology, Messenger RNA, Translation (biology), Molecular biology"
